,Temp,Cp-1,Cp-2,Cp-3,Cp-4,Cp-5,Cp-6,Cp-7,Cp-8,r,s,z0l,zl,z0,zu,z0u,z0_gd
115,36,1.341154,1.345821,1.345308,1.345658,1.349508,1.354695,1.354069,1.354004,0.6,1.0,1.34412327394651,1.34717684851852,1.34851712040963,1.35012372881316,1.35344207511739,1.36687931116836
116,37,1.3421,1.346565,1.346575,1.346811,1.350891,1.355797,1.355704,1.355397,0.6,1.0,1.34501800574051,1.34862279479748,1.35000792939463,1.3515184448641,1.35540060509012,1.36844643785384
117,38,1.343544,1.348016,1.348253,1.34872,1.352268,1.357249,1.35655,1.356845,0.6,1.0,1.34678634650768,1.3500895349057,1.35140184833775,1.35287349617874,1.3564265382103,1.37009651473112
118,39,1.344948,1.349325,1.349751,1.350076,1.354154,1.358487,1.358258,1.358516,0.6,1.0,1.34801133552187,1.35175257165402,1.35322829115448,1.35480188921855,1.35811932819727,1.37179159348604
119,40,1.346184,1.350787,1.351036,1.351621,1.355141,1.359893,1.359812,1.359954,0.6,1.0,1.34957285911993,1.3530025776713,1.35432033111204,1.35577131411462,1.35957188668728,1.37293998180046
120,41,1.347545,1.352586,1.352595,1.353103,1.3562,1.361757,1.361336,1.36124,0.6,1.0,1.35087295966829,1.3545078212611,1.35570745227688,1.35705159516604,1.36107092602024,1.37442406552025
121,42,1.348724,1.353673,1.354257,1.354365,1.357427,1.363071,1.362884,1.362765,0.6,1.0,1.35211186782271,1.35578509329119,1.3569979185238,1.35838543970495,1.36234382384237,1.37613975743376
122,43,1.350562,1.35531,1.355149,1.355657,1.358988,1.364867,1.364346,1.364475,0.6,1.0,1.35357422993842,1.35705845246746,1.35834107325375,1.35984793059944,1.36387209237447,1.37765552864213
123,44,1.351828,1.356617,1.35697,1.357394,1.360438,1.366028,1.366138,1.365636,0.6,1.0,1.35507201563126,1.35878031461267,1.35999668953659,1.36135828664188,1.36560643641547,1.37916616104715
124,45,1.353301,1.357955,1.358589,1.359011,1.361689,1.367004,1.367559,1.367892,0.6,1.0,1.35648796477653,1.36023603755058,1.36142413994213,1.36276522951111,1.36708375974942,1.38061933253811
125,46,1.354831,1.359105,1.359368,1.359716,1.36329,1.368894,1.368737,1.368592,0.6,1.0,1.35774915915771,1.36119035498516,1.3625236491259,1.36405851517562,1.36824266157104,1.38229212890116
126,47,1.35708,1.360724,1.360927,1.361171,1.36572,1.37026,1.3701,1.36993,0.6,1.0,1.35931460593046,1.36307286377931,1.36468517615375,1.36641347358651,1.36983256814611,1.38359238021339
